Tipo;CNPJ Organiza‡?o mapeada;Dado Convertido;Dado Original Organiza‡?o
C¢digo EAN de produto para c¢digo DUN;01157555001186   ;27896584300219;17896584300229
C¢digo EAN de produto para c¢digo DUN;75315333000109   ;27896584300219;17896584300229
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300519;17896584300342
C¢digo EAN de produto para c¢digo DUN;01157555001186   ;27896584300356;17896584300359
C¢digo EAN de produto para c¢digo DUN;03966019000185   ;27896584300455;17896584300373
C¢digo EAN de produto para c¢digo DUN;01157555001186   ;27896584300448;27896584300165
C¢digo EAN de produto para c¢digo DUN;46499224000190   ;17896584300106;27896584300530
C¢digo EAN de produto para c¢digo DUN;46499224000190   ;27896584300219;27896584300592
C¢digo EAN de produto para c¢digo DUN;46499224000190   ;17896584300571;37896584300018
C¢digo EAN de produto para c¢digo DUN;75315333000109   ;17896584300014;37896584300018
C¢digo EAN de produto para c¢digo DUN;46499224000190   ;17896584300038;37896584300032
C¢digo EAN de produto para c¢digo DUN;93209765000117   ;27896584300073;37896584300094
C¢digo EAN de produto para c¢digo DUN;93209765000117   ;27896584300073;37896584300094
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;27896584300073;37896584300094
C¢digo EAN de produto para c¢digo DUN;75315333000109   ;27896584300073;37896584300094
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584300014;7896584300017
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300014;7896584300017
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584300014;7896584300024
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584300038;7896584300031
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300038;7896584300031
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;27896584300042;7896584300048
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;27896584300042;7896584300048
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300052;7896584300055
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584300076;7896584300079
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300076;7896584300079
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;27896584300103;7896584300109
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;27896584300103;7896584300109
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584300595;7896584300215
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300212;7896584300215
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584300267;7896584300260
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584300274;7896584300277
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584300359;7896584300352
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;27896584300455;7896584300451
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300533;7896584300536
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300571;7896584300574
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300588;7896584300581
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584300595;7896584300598
C¢digo EAN de produto para c¢digo DUN;05929873000105   ;17896584301271;7896584301274
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584301301;7896584301304
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584301325;7896584301328
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584301332;7896584301335
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584301349;7896584301342
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584301356;7896584301359
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;17896584301394;7896584301397
C¢digo EAN de produto para c¢digo DUN;45543915000181   ;27896584301407;7896584301403
