"CNPJ","DESCR_ERRO","Quantidade"
"45543915026903","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","1147"
"45543915026903","timeout of 180000ms exceeded","527"
"45543915086558","Registro do cliente não encontrado ","249"
"05868574001929","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 4]","127"
"45543915086558","timeout of 180000ms exceeded","123"
"05868574002062","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 4]","89"
"05868574000523","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 4]","86"
"07705530000699","timeout of 180000ms exceeded","76"
"05868574000523","timeout of 180000ms exceeded","70"
"07705530000699"," [OQUT.DocTotalSy] , 'Período de lançamento bloqueado; especifique uma data alternativa'","70"
"JSON INVALIDO/VAZIO","Pedido 132751 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 177709 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 177710 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 177711 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 207699 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 207701 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 207702 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 207703 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 207706 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002898782 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002908726 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002908728 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002908729 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002908731 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002908737 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002924834 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002924837 já cadastrado no SAP","62"
"JSON INVALIDO/VAZIO","Pedido 6002924838 já cadastrado no SAP","62"
"05868574001929","timeout of 180000ms exceeded","59"
"75315333015726","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","52"
"75315333029271","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","50"
"05868574001767","timeout of 180000ms exceeded","50"
"10938144000309","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 3]","49"
"75315333024989","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","48"
"75315333031926","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","47"
"93209765048900","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","46"
"45543915022231","timeout of 180000ms exceeded","46"
"05868574001333","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 3]","45"
"75315333025950","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","45"
"75315333027066","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","45"
"75315333006735","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","45"
"75315333010252","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","44"
"75315333006573","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","43"
"75315333017427","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","42"
"75315333019390","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","42"
"75315333020215","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","42"
"75315333033627","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","42"
"45543915022231","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 3]","42"
"05868574001333","timeout of 180000ms exceeded","42"
"45543915022231","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 8]","41"
"93209765069907","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","41"
"75315333020720","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","41"
"75315333021025","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","40"
"07705530000699","(-1) Não é possível adicionar a Cotação. Entrar em contato com o setor de Crédito e Cobrança ou Adm. de Vendas!","40"
"75315333013006","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","40"
"93209765069150","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","40"
"75315333029190","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","40"
"05868574001767","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 3]","40"
"04744102000172","O valor na ""Quantidade"" não pode ser zero  [DocumentLines.Quantity][line: 1]","40"
"93209765068188","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","39"
"05868574001503","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 3]","39"
"45543915012864","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 12]","39"
"75315333013600","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","39"
"75315333027813","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","37"
"75315333028976","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","37"
"05868574001333","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 4]","37"
"05868574000361","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 3]","36"
"93209765067963","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","35"
"75315333024717","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","35"
"05868574002062","timeout of 180000ms exceeded","35"
"05868574001767","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 6]","34"
"75315333027570","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 1]","32"
"05868574000523","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 10]","30"
"75315333027570","timeout of 180000ms exceeded","30"
"45543915012864","timeout of 180000ms exceeded","29"
"75315333024717","timeout of 180000ms exceeded","27"
"93209765067963","timeout of 180000ms exceeded","27"
"05868574000361","timeout of 180000ms exceeded","26"
"75315333027813","timeout of 180000ms exceeded","25"
"75315333028976","timeout of 180000ms exceeded","25"
"93209765068188","timeout of 180000ms exceeded","23"
"75315333013600","timeout of 180000ms exceeded","23"
"05868574001503","timeout of 180000ms exceeded","23"
"04744102000172","timeout of 180000ms exceeded","22"
"93209765069150","timeout of 180000ms exceeded","22"
"75315333021025","timeout of 180000ms exceeded","22"
"75315333029190","timeout of 180000ms exceeded","22"
"75315333013006","timeout of 180000ms exceeded","22"
"75315333020720","timeout of 180000ms exceeded","21"
"93209765069907","timeout of 180000ms exceeded","21"
"75315333017427","timeout of 180000ms exceeded","20"
"75315333019390","timeout of 180000ms exceeded","20"
"75315333020215","timeout of 180000ms exceeded","20"
"75315333033627","timeout of 180000ms exceeded","20"
"75315333006573","timeout of 180000ms exceeded","19"
"75315333010252","timeout of 180000ms exceeded","18"
"75315333006735","timeout of 180000ms exceeded","17"
"75315333025950","timeout of 180000ms exceeded","17"
"75315333027066","timeout of 180000ms exceeded","17"
"93209765048900","timeout of 180000ms exceeded","16"
"75315333031926","timeout of 180000ms exceeded","15"
"75315333024989","timeout of 180000ms exceeded","14"
"10938144000309","timeout of 180000ms exceeded","13"
"75315333029271","timeout of 180000ms exceeded","12"
"75315333015726","timeout of 180000ms exceeded","10"
"45543915022231","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 9]","5"
"45543915012864","Número de item não informado; especifique um número de item  [DocumentLines.ItemCode][line: 2]","5"
"45543915022231","Request failed with status code 502","1"
