"Detalhes (Codigo | Descricao | Header)","Ocorrencias"
"17896584300014 | ARROZ TP1 FANTASTICO 5kg                 | EAN_Header: 7896584300017","135"
"17896584301394 | ARROZ BRANCO SABOROSO PREMIUM 5KG        | EAN_Header: 7896584300017","135"
"17896584301301 | ARROZ PARBOILIZADO SABOROSO TP1 1KG      | EAN_Header: 7896584300017","135"
"27896584301407 | ARROZ BRANCO SABOROSO PREMIUM 1KG        | EAN_Header: 7896584300017","135"
"17896584301325 | ARROZ PARBOILIZADO SABOROSO TP1 5KG      | EAN_Header: 7896584300017","135"
"17896584300595 | ARROZ TP1 FANTASTICO 1kg                 | EAN_Header: 7896584300017","135"
"17896584300359 | ARROZ BRANCO SABOROSO 1KG                | EAN_Header: 7896584300017","135"
"27896584300042 | FEIJAO CARIOCA TIPO 1 FANTASTICO 1kg     | EAN_Header: 7896584300017","73"
"17896584300076 | FEIJAO CARIOCA TIPO 1 SABOROSO 1kg       | EAN_Header: 7896584300017","73"
"17896584300038 | ARROZ TP1 SABOROSO 5kg                   | EAN_Header: 7896584300017","73"
"27896584300103 | FEIJAO PRETO TIPO 1 FANTASTICO 1kg       | EAN_Header: 7896584300017","73"
"17896584301349 | MASSA COM OVOS PENNE FANTASTICO 500G     | EAN_Header: 7896584300017","11"
"17896584300274 | ARROZ TP 1 SANTO GOUMET 5KG              | EAN_Header: 7896584300017","11"
"17896584300267 | ARROZ TP 1 SANTO GOUMET 1kg              | EAN_Header: 7896584300017","11"
"17896584301332 | MASSA C OVOS ESPAGUETE 8 FANTASTICO 500G | EAN_Header: 7896584300017","11"
