
CNPJ           Quantidade_Erros
----           ----------------
45543915026903             1674
INVALID JSON               1116
45543915086558              372
05868574001929              186
07705530000699              186
05868574000523              186
45543915022231              135
05868574001767              124
05868574001333              124
05868574002062              124
45543915012864               73
75315333010252               62
75315333027813               62
93209765048900               62
04744102000172               62
75315333031926               62
05868574000361               62
75315333024989               62
75315333033627               62
75315333006573               62
75315333029271               62
75315333020215               62
75315333027066               62
75315333013600               62
93209765068188               62
75315333015726               62
75315333025950               62
75315333028976               62
93209765067963               62
75315333027570               62
75315333006735               62
75315333019390               62
75315333017427               62
75315333029190               62
05868574001503               62
75315333021025               62
75315333020720               62
75315333013006               62
93209765069907               62
75315333024717               62
93209765069150               62
10938144000309               62



