CNPJ,Nome Cliente,Cod SAP,Grupo,Sucessos,Erros (Unicos)
05868574002062,COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA,C000131,ZARAGOZA,0,2
07705530000699,MIXTER ATACADO E VAREJO DE GENEROS ALIMENTICIOS LTDA,C000062,NAGUMO,0,4
45543915022231,CARREFOUR COMERCIO E INDUSTRIA LTDA,C003612,CARREFOUR SP,0,3
75315333010252,ATACADAO S.A.,C009977,ATACADAO RJ,0,2
75315333013600,ATACADAO S.A,F001136,FORNECEDORES,0,2
93209765069907,WMS SUPERMERCADOS DO BRASIL LTDA,C008742,ATACADAO RJ,0,1
93209765068188,WMS SUPERMERCADOS DO BRASIL LTDA,C008347,ATACADAO RJ,0,1
75315333021025,ATACADAO S.A.,C001826,ATACADAO RJ,0,2
93209765048900,WMS SUPERMERCADOS DO BRASIL LTDA,C004017,ATACADAO RJ,0,2
45543915026903,CARREFOUR COMERCIO E INDUSTRIA LTDA,API,Outros (API),0,47
75315333013006,ATACADAO S.A.,C011754,ATACADAO RJ,0,2
75315333024989,ATACADAO S.A.,C002914,ATACADAO RJ,0,2
75315333024717,ATACADAO S/A,F001491,FORNECEDORES,0,2
75315333033627,ATACADAO S.A.,C005503,ATACADAO RJ,0,2
75315333020720,ATACADAO S.A.,C001797,ATACADAO RJ,0,2
75315333019390,ATACADAO S.A.,F000342,USO E CONSUMO,0,2
75315333031926,ATACADAO S.A.,F004083,USO E CONSUMO,0,2
93209765067963,WMS SUPERMERCADOS DO BRASIL LTDA,C008504,ATACADAO RJ,0,1
75315333025950,ATACADAO S.A.,C003507,ATACADAO RJ,0,2
93209765069150,WMS SUPERMERCADOS DO BRASIL LTDA,C009081,ATACADAO RJ,0,1
75315333020215,ATACADAO S.A.,F000710,USO E CONSUMO,0,2
75315333027813,ATACADAO S.A.,F002084,FORNECEDORES,0,1
75315333027066,ATACADAO S.A.,C003776,ATACADAO RJ,0,2
75315333028976,ATACADAO S A,F002060,USO E CONSUMO,0,2
75315333015726,ATACADAO S/A,F001261,FORNECEDORES,0,1
75315333027570,ATACADAO S.A.,C003635,ATACADAO RJ,0,1
75315333006573,ATACADAO S.A.,C009512,ATACADAO RJ,0,2
75315333017427,ATACADAO S.A.,F000361,FORNECEDORES,0,2
75315333029190,ATACADAO S.A.,C003631,ATACADAO RJ,0,2
75315333006735,ATACADAO S.A.,C009510,ATACADAO RJ,0,2
75315333029271,ATACADAO S.A.,C003782,ATACADAO RJ,0,1
10938144000309,ESTOK BRASIL COMERCIO DE ALIMENTOS LTDA,C009068,NAGUMO,1,1
05868574000523,COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA,F004786,USO E CONSUMO,0,3
04744102000172,MERCANTIL VISTA VERDE LTDA,C002548,NAGUMO,0,3
05868574001929,COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA,C016199,ZARAGOZA,0,3
05868574000361,COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA,C004156,ZARAGOZA,0,1
05868574001333,COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA,C012419,ZARAGOZA,0,2
05868574001767,COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA,C013562,ZARAGOZA,0,2
45543915086558,CARREFOUR COMERCIO E INDUSTRIA LTDA,API,Outros (API),0,3
45543915012864,CARREFOUR COMERCIO E INDUSTRIA LTDA,C002212,CARREFOUR SP,2,1
05868574001503,COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA,C013010,ZARAGOZA,0,1
20276483000916,SHIBATA COMERCIAL ATACADISTA DE MERCADORIAS EM GERAL LTDA,C009193,SHIBATA,2,0
50472851000458,SUPERMERCADO SHIBATA JACAREI LTDA,C014799,SHIBATA,3,0
20276483000169,SHIBATA COMERCIO E ATACADO DE PRODUTOS EM GERAL LTDA,C014191,SHIBATA,3,0
20276483000754,SHIBATA COMERCIO E ATACADO DE PRODUTOS EM GERAL LTDA,C003025,SHIBATA,3,0
17349548000730,SK SUPERMERCADOS LTDA,C006989,SHIBATA,3,0
17349548000497,SK SUPERMERCADOS LTDA,C002328,SHIBATA,3,0
09358143000225,SHIBATA COMERCIAL ATACADISTA DE MERCADORIAS EM GERAL LTDA,C016003,SHIBATA,3,0
10432515000114,SHIBATA EMPORIO LTDA,C006726,SHIBATA,3,0
17349548000144,SK SUPERMERCADOS LTDA,C013211,SHIBATA,3,0
07424394000154,SUPERMERCADO SHIBATA TAUBATE LTDA,C004997,SHIBATA,3,0
14569191000111,EMPORIO KIMOTO LTDA,C002057,SHIBATA,2,0
20276483000320,SHIBATA COMERCIO E ATACADO DE PRODUTOS EM GERAL LTDA,C000054,SHIBATA,2,0
20276483000401,SHIBATA COMERCIO E ATACADO DE PRODUTOS EM GERAL LTDA,C001324,SHIBATA,3,0
00185682000405,COMERCIAL OSVALDO TARORA LTDA,C004431,SHIBATA,3,0
20276483000592,SHIBATA COMERCIO E ATACADO DE PRODUTOS EM GERAL LTDA,C002004,SHIBATA,3,1
17349548000659,SK SUPERMERCADOS LTDA,C005132,SHIBATA,3,0
17349548000578,SK SUPERMERCADOS LTDA,C003888,SHIBATA,3,0
50472851000105,SUPERMERCADO SHIBATA JACAREI LTDA,C000037,SHIBATA,3,0
17349548000306,SK SUPERMERCADOS LTDA,C002213,SHIBATA,3,0
50472851000377,SUPERMERCADO SHIBATA JACAREI LTDA,C009011,SHIBATA,3,0
09358143000578,SHIBATA COMERCIAL ATACADISTA DE MERCADORIAS EM GERAL LTDA,C008353,SHIBATA,3,0
15061363000104,SHIBATA CACAPAVA ATACADO E VAREJO DE MERCADORIAS EM GERAL LTDA,C012194,SHIBATA,3,0
20276483000673,SHIBATA COMERCIO E ATACADO DE PRODUTOS EM GERAL LTDA,C002005,SHIBATA,3,0
09358143000144,SHIBATA COMERCIAL ATACADISTA DE MERCADORIAS EM GERAL LTDA,C005874,SHIBATA,3,0
71038764000114,COML E IMPORTADORA SAO SEBASTIAO LT,C000051,SHIBATA,3,0
17349548000225,SK SUPERMERCADOS LTDA,C014486,SHIBATA,3,0
20276483000835,SHIBATA COMERCIO E ATACADO DE PRODUTOS EM GERAL LTDA,C004111,SHIBATA,3,0
48093892001110,SUPERMERCADO SHIBATA LTDA,C002771,SHIBATA,3,0
48093892001030,SUPERMERCADO SHIBATA LTDA,F003435,USO E CONSUMO,3,0
48093892001382,SUPERMERCADO SHIBATA LTDA,C004310,SHIBATA,3,0
00185682000154,COMERCIAL OSVALDO TARORA LTDA,C002723,SHIBATA,3,0
48093892000149,SUPERMERCADO SHIBATA LTDA,C005904,SHIBATA,3,0
09358143000306,SHIBATA COMERCIAL ATACADISTA DE MERCADORIAS EM GERAL LTDA,C004372,SHIBATA,1,0
45543915008590,CARREFOUR COMERCIO E INDUSTRIA LTDA,C005206,CARREFOUR SP,1,0
45543915000505,CARREFOUR COMERCIO E INDUSTRIA LTDA,C005702,CARREFOUR SP,1,1
45543915003601,CARREFOUR COMERCIO E INDUSTRIA LTDA,F001585,USO E CONSUMO,0,1
04459513000116,COMERCIAL BARATAO MORUMBI LTDA,C002357,NAGUMO,1,0
10938144000147,ESTOK BRASIL COMERCIO DE ALIMENTOS LTDA,C007127,NAGUMO,1,0
15610121000122,SP BRASIL ATACADO E VAREJO DE GENEROS ALIMENTICIOS LTDA,C008756,NAGUMO,1,0
10938144000228,ESTOK BRASIL COMERCIO DE ALIMENTOS LTDA,C008096,NAGUMO,1,0
00464411000138,SUPERMERCADO SP BRASIL DE ATIBAIA LTDA,C008758,NAGUMO,1,0
00464411000219,SUPERMERCADO SP BRASIL DE ATIBAIA LTDA,C008759,NAGUMO,1,0
00386708000122,COMERCIAL BRASIL DE ATIBAIA LTDA,C008763,NAGUMO,0,1
00386708000475,COMERCIAL BRASIL DE ATIBAIA LTDA,C008761,NAGUMO,1,0
15347973000179,RIO BRASIL COMERCIO DE ALIMENTOS LTDA,C012182,NAGUMO,1,0
15347973000250,RIO BRASIL COMERCIO DE ALIMENTOS LTDA,C004258,NAGUMO,1,0
46079372000580,SUPERMERCADOS SOLAR LTDA,C008586,NAGUMO,1,0
04459464000111,COMERCIAL BARATAO COLONIAL LTDA,C002322,NAGUMO,0,1
45543915003016,CARREFOUR COMERCIO E INDUSTRIA LTDA,C005704,CARREFOUR SP,0,1
45543915021421,CARREFOUR COMERCIO E INDUSTRIA LTDA,C005749,CARREFOUR SP,1,0
45543915003369,CARREFOUR COMERCIO E INDUSTRIA LTDA,C005746,CARREFOUR SP,1,0
93209765063542,WMS SUPERMERCADOS DO BRASIL LTDA,C008034,ATACADAO SP,3,0
93209765048748,WMS SUPERMERCADOS DO BRASIL LTDA.,F004126,USO E CONSUMO,3,0
93209765064603,WMS SUPERMERCADOS DO BRASIL LTDA,C008167,ATACADAO SP,3,0
93209765059782,WMS SUPERMERCADOS DO BRASIL LTDA,C002585,ATACADAO SP,3,0
93209765061680,WMS SUPERMERCADOS DO BRASIL LTDA,F004081,USO E CONSUMO,3,0
93209765065324,WMS SUPERMERCADOS DO BRASIL LTDA.,C008180,ATACADAO SP,3,0
93209765051617,WMS SUPERMERCADOS DO BRASIL LTDA,F004058,USO E CONSUMO,3,0
93209765060799,WMS SUPERMERCADOS DO BRASIL LTDA,F004049,USO E CONSUMO,3,0
06057223043490,SENDAS DISTRIBUIDORA S/A,C004117,ASSAI  SP,4,0
06057223023970,SENDAS DISTRIBUIDORA S/A,F000764,USO E CONSUMO,4,0
06057223046082,SENDAS DISTRIBUIDORA S/A,C004125,ASSAI  SP,4,0
06057223036877,SENDAS DISTRIBUIDORA S/A,C001889,ASSAI  SP,3,0
06057223028343,SENDAS DISTRIBUIDORA S/A,F001276,FORNECEDORES,2,0
06057223041528,SENDAS DISTRIBUIDORA S/A,C003638,ASSAI  SP,3,0
06057223036605,SENDAS DISTRIBUIDORA S/A,C002458,ASSAI  SP,1,0
06057223026308,SENDAS DISTRIBUIDORA S/A,F000680,USO E CONSUMO,3,0
06057223026057,SENDAS DISTRIBUIDORA S/A,C001398,ASSAI  SP,2,0
06057223025085,SENDAS DISTRIBUIDORA S/A,F000740,USO E CONSUMO,3,0
06057223035200,SENDAS DISTRIBUIDORA S/A,F000679,USO E CONSUMO,4,0
06057223043652,SENDAS DISTRIBUIDORA S/A,F004038,USO E CONSUMO,4,0
06057223050519,SENDAS DISTRIBUIDORA S/A,C005092,ASSAI  SP,2,0
06057223036524,SENDAS DISTRIBUIDORA S/A,C001624,ASSAI  SP,5,0
06057223024860,SENDAS DISTRIBUIDORA S/A,C001967,ASSAI  SP,5,0
06057223031212,SENDAS DISTRIBUIDORA S/A,F000731,USO E CONSUMO,3,0
06057223025751,SENDAS DISTRIBUIDORA S/A,F001277,ARROZ IMPORTADO,5,0
06057223050608,SENDAS DISTRIBUIDORA S/A,C005094,ASSAI  SP,5,0
06057223036281,SENDAS DISTRIBUIDORA S/A,F001231,FORNECEDORES,4,0
06057223048964,SENDAS DISTRIBUIDORA S/A,C005073,ASSAI  SP,3,0
06057223056479,SENDAS DISTRIBUIDORA S/A,C008524,ASSAI  SP,3,0
06057223029404,SENDAS DISTRIBUIDORA S/A,F002871,USO E CONSUMO,4,0
06057223028696,SENDAS DISTRIBUIDORA S/A,C001407,ASSAI  SP,1,0
06057223037091,SENDAS DISTRIBUIDORA S/A,F001138,FORNECEDORES,5,0
06057223050004,SENDAS DISTRIBUIDORA S/A,C005081,ASSAI  SP,5,0
06057223028424,SENDAS DISTRIBUIDORA S/A,C001406,ASSAI  SP,5,0
