Executing: SELECT ItemCode, ItemName FROM OITM WHERE ItemName LIKE '%ARROZ%FANTASTICO%' AND ValidFor = 'Y'

ItemCode ItemName                          
-------- --------                          
0009     ARROZ ARBORIO FANTASTICO CULINA...
0235     ARROZ BRANCO FANTASTICO GRAOS N...
0024     ARROZ BRANCO FANTASTICO GRAOS N...
0004     ARROZ BRANCO FANTASTICO GRAOS N...
0027     ARROZ BRANCO FANTASTICO GRAOS N...
0003     ARROZ BRANCO FANTASTICO GRAOS N...
0031.1   ARROZ BRANCO FANTASTICO PREMIUM...
0022     ARROZ BRANCO FANTASTICO PREMIUM...
0020     ARROZ BRANCO FANTASTICO PREMIUM...
0013     ARROZ BRANCO FANTASTICO PREMIUM...
0001.1   ARROZ BRANCO FANTASTICO T2 (FD ...
0206     ARROZ INTEGRAL FANTASTICO T1 (C...
0136     ARROZ JAPONES KIZOKU MAI FANTAS...
0133     ARROZ JAPONES KIZOKU MAI FANTAS...
0208     ARROZ ORGANICO INTEGRAL FANTAST...
0076     ARROZ PARBOILIZADO FANTASTICO T...
0028     ARROZ PARBOILIZADO FANTASTICO T...
0025     ARROZ PARBOILIZADO FANTASTICO T...
0207.1   ARROZ PARBOILIZADO INTEGRAL FAN...
0135     ARROZ PRETO FANTASTICO (CX 12/0...
EMB0531  CAIXA ARROZ ARBOREO FANTASTICO ...
EM00464  CAIXA ARROZ INTEGRAL FANTASTICO...
EM00466  CAIXA ARROZ INTEGRAL ORGANICO F...
EM00465  CAIXA ARROZ MINI ARBOREO FANTAS...
EM00475  CAIXA ARROZ PRETO FANTASTICO 250G 
EM00404  EMBALAGEM ARROZ BRANCO FANTASTI...
EM00402  EMBALAGEM ARROZ BRANCO FANTASTI...
EM00403  EMBALAGEM ARROZ BRANCO FANTASTI...
EM00401  EMBALAGEM ARROZ BRANCO FANTASTI...
EM00408  EMBALAGEM ARROZ BRANCO FANTASTI...
EM00409  EMBALAGEM ARROZ BRANCO FANTASTI...
EM00407  EMBALAGEM ARROZ BRANCO FANTASTI...
EM00414  EMBALAGEM ARROZ BRANCO TIPO 2 F...
EM00419  EMBALAGEM ARROZ INTEGRAL E ARBO...
EM00480  EMBALAGEM ARROZ JAPONES KIZOKU ...
EM00484  EMBALAGEM ARROZ JAPONES KIZOKU ...
EM00479  EMBALAGEM ARROZ JAPONES KIZOKU ...
EM00483  EMBALAGEM ARROZ JAPONES KIZOKU ...
EM00421  EMBALAGEM ARROZ PARBOILIZADO FA...
EM00420  EMBALAGEM ARROZ PARBOILIZADO FA...
EM00423  EMBALAGEM ARROZ PARBOILIZADO IN...
EM00476  EMBALAGEM ARROZ PRETO FANTASTIC...
EMB0527  EMBALAGEM DE ARROZ BRANCO FANTA...
EM00556  EMBALAGEM DE ARROZ BRANCO FANTA...
EM00447  ENFARDADEIRA ARROZ BRANCO FANTA...
EM00446  ENFARDADEIRA ARROZ BRANCO FANTA...
EM00445  ENFARDADEIRA ARROZ BRANCO FANTA...
EM00448  ENFARDADEIRA ARROZ BRANCO TIPO ...
EM00444  ENFARDADEIRA ARROZ PARBOILIZADO...
EM00443  ENFARDADEIRA ARROZ PARBOILIZADO...
EM00528  FITA P/ ENFARDADEIRA ARROZ FANT...
EM00505  FITA P/ ENFARDADEIRA ARROZ FANT...
EM00501  FITA P/ ENFARDADEIRA ARROZ FANT...
EM00502  FITA P/ ENFARDADEIRA ARROZ FANT...


Executing: SELECT ItemCode, ItemName FROM OITM WHERE ItemName LIKE '%FEIJAO%FANTASTICO%' AND ValidFor = 'Y'

ItemCode ItemName                          
-------- --------                          
EM00499  EMBALAGEM FEIJAO BRANCO FANTAST...
EM00424  EMBALAGEM FEIJAO CARIOCA FANTAS...
EM00425  EMBALAGEM FEIJAO CARIOCA FANTAS...
EM00440  EMBALAGEM FEIJAO FRADINHO FANTA...
EM00490  EMBALAGEM FEIJAO FRADINHO FANTA...
EM00434  EMBALAGEM FEIJAO PRETO FANTASTI...
EM00435  EMBALAGEM FEIJAO PRETO FANTASTI...
EM00438  EMBALAGEM FEIJAO VERMELHO FANTA...
EM00451  ENFARDADEIRA FEIJAO CARIOCA FAN...
EM00453  ENFARDADEIRA FEIJAO PRETO FANTA...
EM00454  ENFARDADEIRA FEIJAO PRETO FANTA...
EM00452  ENFARDADEIRA FEIJAO PRETO FANTA...
0145     FEIJAO BRANCO FANTASTICO T1 (FD...
0234     FEIJAO CARIOCA FANTASTICO 200g ...
0046.1   FEIJAO CARIOCA FANTASTICO T1 (F...
0040     FEIJAO CARIOCA FANTASTICO T1 (F...
0106.1   FEIJAO FRADINHO FANTASTICO T1 (...
0107     FEIJAO FRADINHO FANTASTICO T1 (...
0079     FEIJAO PRETO FANTASTICO RJ T1 (...
0078     FEIJAO PRETO FANTASTICO RJ T1 (...
