"Codigo Neogrid (DUN)","Item SAP Sugerido","Descricao SAP","Status SAP"
"17896584300014","0003","ARROZ BRANCO FANTASTICO GRAOS NOBRES T1  (FD 6/5KG)","ATIVO"
"17896584301394","0014","ARROZ BRANCO SABOROSO PREMIUM T1 (FD 6/5KG)","INATIVO/CONGELADO"
"17896584301301","0142","ARROZ PARBOILIZADO SABOROSO T1 (FD 10/1KG)","ATIVO"
"27896584301407","0016","ARROZ BRANCO SABOROSO PREMIUM T1 (FD 30/1KG)","ATIVO"
"17896584301325","0144","ARROZ PARBOILIZADO SABOROSO T1 (FD 6/5KG)","ATIVO"
"17896584300595","0020","ARROZ BRANCO FANTASTICO PREMIUM T1 (FD 30/1KG)","ATIVO"
"17896584300359","0032.1","ARROZ BRANCO SABOROSO T1 (FD 30/1KG)","ATIVO"
"27896584300042","0040","FEIJAO CARIOCA FANTASTICO T1 (FD 30/1KG)","ATIVO"
"17896584300076","0042.2","FEIJAO CARIOCA SABOROSO T1 (FD 30/1KG)","ATIVO"
"17896584300038","0005","ARROZ BRANCO SABOROSO T1 (FD 6/5KG)","ATIVO"
"27896584300103","0045","FEIJAO PRETO FANTASTICO SP T1 (FD 30/1KG)","ATIVO"
"17896584301349","0224.1","MACARRAO FANTASTICO COM OVOS PENNE 500G (FD 20/0,5KG)","ATIVO"
"17896584300274","0038","ARROZ BRANCO SANTO GOURMET T1 (FD 6/5KG)","ATIVO"
"17896584300267","0039","ARROZ BRANCO SANTO GOURMET T1 (FD 30/1KG)","ATIVO"
"17896584301332","0225.1","MACARRAO FANTASTICO COM OVOS ESPAGUETE 500G (FD 20/0,5KG)","ATIVO"
